Id,Label
Zhang2026Exploringtheimpact,"Exploring the impact of diverse feedback sources on learners’ performance, motivation, and preference in a translation course: Tutor, peer, and GPT insight"
Shi2025Researchonintellig,Research on intelligent prediction and control algorithm design for embedded systems in nonlinear Internet of Things environment
Wu2022ComputationalMirror,Computational Mirror Cup and Saucer Art
Yang2025Automatedconstructi,Automated construction of inorganic materials databases and materials discovery based on large language models
Yin2025Optimizedsourcegri,Optimized source-grid-load-storage planning for enhanced wind power integration and load acceptance in transmission-constrained systems
Liu2025Researchonemotion,Research on emotion recognition of art design based on fusion features and transfer learning
Cheng2025DilemmaofcollegeE,Dilemma of college English curriculum reform based on big data and Internet of Things
Vidulis2023ComputationalExplor,Computational Exploration of Multistable Elastic Knots
Wu2025Theconstructionof,The construction of multimodal smart classroom teaching evaluation indicator system for higher vocational English based on hierarchical analysis approach
Arkin2025Phonemeconfusionmo,Phoneme confusion modeling research based on dynamic speech alignment and machine learning
Wang2026Adeepneuralnetwor,A deep neural network framework for solving forward and inverse problems in delay differential equations
Javadi2023AComprehensiveMode,A Comprehensive Model for Efficient Design Space Exploration of Imprecise Computational Blocks
Wang2023WitnessesforAnswer,Witnesses for Answer Sets of Logic Programs
Zhou2025Improvingstudents,Improving students’ classroom motivation and learning efficiency based on deep learning
Zheng2025Researchonautomati,Research on automatic identification and analysis of brand LOGO design based on computer vision and image processing
Pan2025Improveddataquery,Improved data query analysis techniques based on structure optimization and efficiency optimization
Muoi2026Learningawaterqua,"Learning a water quality model with time dependent parameters by <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si454.svg"" display=""inline"" id=""d1e561""><mml:msup><mml:mrow><mml:mi>l</mml:mi></mml:mrow><mml:mrow><mml:mn>1</mml:mn></mml:mrow></mml:msup></mml:math>-weighted regularization"
Sun2025Evaluationoftraini,Evaluation of training effect and competitive level of track and field athletes based on big data analysis
Zhang2025Researchonsimulati,Research on simulation and optimization algorithm of watercolor paint mixing effect based on graph neural network
Zhao2025Trendandfuturepro,Trend and future prospect of art design innovation based on big data
Gu2025Earlywarningandri,Early warning and risk assessment algorithm of school discipline inspection and supervision cases based on data mining technology
Hughes2019Thelawsofthought,The laws of thought and thinking machines
Yuan2025Ethicalandlegalis,Ethical and legal issues of artificial intelligence in English Teaching
Li2025Pathoptimizationde,Path optimization design of teaching resource sharing platform based on ant colony optimization algorithm
Tao2025Designandapplicati,Design and application of AI-based personalized English learning recommendation system
Xu2025Applicationofartif,Application of artificial intelligence in enabling cloud-based rural E-commerce resource management
Yang2025Optimizationofente,Optimization of enterprise financial health assessment model based on genetic algorithm
Zhang2025Dynamicposerecogni,Dynamic pose recognition based on deep learning: Developing a CNN model for choral conductor pose recognition
Cao2025Researchontheappl,Research on the application and efficiency improvement of artificial intelligence in financial accounting and auditing
He2025Researchonoptimiza,Research on optimization strategy and practice of university course management based on machine learning and big data analysis
Frauenberger2019Waysofthinkingin,Ways of thinking in informatics
Du2025Studyonspatialopt,Study on spatial optimization and application of smart tourism in urban sustainable development
Yang2025Shortvideocontent,Short video content and recommendation algorithm based on deep learning
Wan2025Optimizationofcult,Optimization of cultural heritage interactive display rendering based on improved GWO-DLSS algorithm
McCarley2025AComputationalCogn,A Computational Cognitive Model of the Vigilance Decrement
Hu2025Amethodforimprovi,A method for improving music appreciation ability based on artificial neural network
Zhang2025Edgedevicecomputin,Edge device computing power scheduling and allocation based on adaptive deep model compression
Liu2025Researchandapplica,Research and application of transformer fault diagnosis method based on SHAP-IHHO-Xgboost model
He2025Personalizedteachin,Personalized teaching and learning in college music education innovation based on big data analysis
Alqarni2025NetworkDynamicsand,Network Dynamics and the Impact of Gamification on Computational Thinking and Visual Programming in Primary Education
Espinal2024ProfessionalDevelop,Professional Development in Computational Thinking: A Systematic Literature Review
Tang2025CollegeEnglishclas,College English classroom teaching method and practice based on big data technology
Liu2025Behavioranalysisan,Behavior analysis and intelligent management decision-making of students in higher vocational colleges based on big data mining
Fu2025Advancementsindigi,Advancements in digital grid infrastructure: Exploring automated asset feature identification and disposal
Bai2025Constructionofinfo,Construction of information management model of music colleges based on big data
Yang2025Researchonundergro,Research on underground engineering collaborative design platform based on “cloud + terminal” architecture and LSTM-MVCNN algorithm
Zhou2025Modelingandsimulat,Modeling and simulation of forklift hydraulic lifting system based on AMESim
Yu2025Applicationandopti,Application and optimization analysis of language translation function in cross-border E-commerce platforms
Pelnek2023TheLandscapeofCom,The Landscape of Computational Thinking Problems for Practice and Assessment
Luo2025Researchonperforma,Research on performance evaluation model of enterprise green accounting based on AHP and fuzzy comprehensive evaluation
Wang2025Thedesignandimple,The design and implementation of a university physics course based on deep learning
Wang2026Temporalerrorestim,Temporal error estimates of the BDF2 numerical scheme with variable time steps for the square phase-field crystal model
Auzinger2018Computationaldesign,Computational design of nanostructural color for additive manufacturing
Li2025Constructionofrura,Construction of rural landscape design system based on support vector machine and mean drift algorithm
Wang2026Phasetransitionin,"Phase transition in the EM scheme of an SDE driven by <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si14.svg"" display=""inline"" id=""d1e2512""><mml:mi>α</mml:mi></mml:math>-stable noises with <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si15.svg"" display=""inline"" id=""d1e2517""><mml:mrow><mml:mi>α</mml:mi><mml:mo linebreak=""goodbreak"" linebreakstyle=""after"">∈</mml:mo><mml:mrow><mml:mo>(</mml:mo><mml:mn>0</mml:mn><mml:mo>,</mml:mo><mml:mn>2</mml:mn><mml:mo>]</mml:mo></mml:mrow></mml:mrow></mml:math>"
Gurevich2025PrimalLogicofInfo,Primal Logic of Information
Yang2025Effectivenessofcom,Effectiveness of computer-aided lexical chunks in the translation of museum promotional texts
Ma2026Theimpactofteache,The impact of teacher autonomy support on student engagement in higher education: exploring the mediating roles of student motivational beliefs and self-regulated learning
Sajidin2026Fosteringcriticalt,Fostering critical thinking skills among EFL learners in higher education - A systematic review
Tang2025Pathoptimizationmo,Path optimization model of smart elderly care service based on reinforcement learning and particle swarm optimization
Lin2026Exploringtheimpact,Exploring the impact of hypotheticality on students’ argumentation in online gamified learning environment
Zhao2025Modelandresearcho,Model and research of a cigarette box defect recognition system based on deep learning
Li2025Bodyposturerecogni,Body posture recognition of aerobics based on improved OpenPose lightweight estimation algorithm
Wang2025Threatassessmentmo,Threat assessment model of Internet Information Infrastructure based on knowledge graph
Aamer2023InputsOutputsand,"Inputs, Outputs, and Composition in the Logic of Information Flows"
Pu2025Designofsmartelde,Design of smart elderly care emotion recognition and elderly care system based on transfer learning
Dong2025Artificialintellige,Artificial intelligence in evaluating spoken English: Challenges and future perspectives
Kapl2026Ammlmathxmlnsmm,"A <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si12.svg"" display=""inline"" id=""d1e5625""><mml:msup><mml:mrow><mml:mi>C</mml:mi></mml:mrow><mml:mrow><mml:mi>s</mml:mi></mml:mrow></mml:msup></mml:math>-smooth mixed degree and regularity isogeometric spline space over planar multi-patch domains"
Liu2025Researchononlinep,Research on online psychological teaching and behavior analysis of college students based on improved collaborative filtering
Sun2025ImprovingComputatio,Improving Computational Thinking for Middle School Students Through Python Programming: Interaction Effect Analysis of Grade Level and Gender
Zhang2025Collaborativeplanni,Collaborative planning model of digital economy and renewable energy microgrid based on double-layer optimization
Hu2025Applicationandimpr,Application and improvement of algorithms in machine learning based loan review system
Xu2025Emotionclassificati,Emotion classification of teaching resources in online teaching based on artificial intelligence
Wu2025Managementofcross,Management of cross-border e-commerce data visualization platform based on deep learning
Hu2025Designofexothermic,Design of exothermic reactor control system based on SMPT-1000 and PCS7
Zhao2025Enterprisereformon,Enterprise reform on excessive on-the-job consumption—Based on data analysis of A-share listed company samples
Chen2022Computationaldesign,Computational design of high-level interlocking puzzles
Wei2025Bigdatasentimenta,Big data sentiment analysis and experience optimization of health tourism based on deep learning and NLP
Nie2025MapReducebaseddata,MapReduce-based data mining algorithm in consumer behavior prediction
Zhang2021ComputationalDesign,Computational Design of Planar Multistable Compliant Structures
Gao2025Designofmultipler,Design of multiple recommendation patterns for E-commerce based on backpropagation algorithm and genetic algorithm
Wei2025Evaluationanalysis,Evaluation analysis of college Chinese teaching based on random simulation algorithm
Wu2025Theoptimizationof,The optimization of posture matching algorithm on physical education based on human differential posture characteristics
Mike2022Computationalthinki,Computational thinking in the era of data science
Heintz2018Computationalthinki,Computational thinking for all
Zhi2025Universityfinancial,University financial accounting management system based on fuzzy reasoning model
Mansour2026Exploringtheimpact,Exploring the impact of STEAM and connected learning on skills of digital age in primary schools
Kirkpatrick2019Theedgeofcomputat,The edge of computational photography
zarslan2026Thegeneralizationo,"The generalization of the
<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si441.svg"" display=""inline"" id=""d1e2258"">
<mml:mi>α</mml:mi>
</mml:math>
-Meyer–König–Zeller operators by generating functions"
Gao2025ExplorationofEngli,"Exploration of English teaching models integrating artificial intelligence, big data, and internet of things"
Wu2025Patternrecognition,Pattern recognition and classification of children’s furniture based on multi-scale Retinex algorithm
Qian2025Qualityevaluationm,Quality evaluation model of innovation and entrepreneurship teaching effect based on fuzzy clustering algorithm
Zhang2025Constructionandopt,Construction and optimization of higher education teaching quality evaluation model under the background of education big data: Based on naive Bayes classification algorithm
Zhang2025Researchontheappl,Research on the application of AR technology in traditional art creation under the background of artificial intelligence
Fan2025Researchonintellig,Research on intelligent evaluation model of vocational education curriculum based on diffusion reinforcement learning and multi-scale residual network
Zhou2023ComputationalDesign,"Computational Design of LEGO
<sup>®</sup>
Sketch Art"
Wang2025Constructionandsim,Construction and simulation prediction of urban ecosystem health evaluation system based on GIS and CA-Markov model
Duan2025Intelligentplanning,Intelligent planning method for scenic spot routes based on heuristic search algorithm and multi-dimensional data
Li2025Seismicdesignmetho,Seismic design method for reinforced concrete bridge structures based on BIM technology
Zhao2025Analyzetheimpacto,Analyze the impact of complex scheduling algorithms on injury rates and athletic performance in a collegiate sports environment
Zhu2025AIpoweredfeedback,AI-powered feedback analytics engine for optimizing vocational education quality assessment
Chen2025Theapplicationofc,The application of cloud data privacy protection and resource sharing methods in accounting intelligence
Ji2026Scenariotreereduct,"Scenario tree reduction algorithms combining quantitative stability with <mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si2.svg"" display=""inline"" id=""d1e2375""><mml:mi>k</mml:mi></mml:math>-medoids clustering for large-scale risk-averse multi-stage stochastics programming problems"
Nie2025Dynamicoptimization,Dynamic optimization of television media parameters based on reinforcement learning and causal reasoning
Chen2025Martialartsaction,Martial arts action recognition based on improved method of human pose estimation using stacked hourglass network
Kodnongbua2022Computationaldesign,Computational design of passive grippers
Bleyer2020AutomatingtheFormu,Automating the Formulation and Resolution of Convex Variational Problems
Jin2025Applicationofcolor,Application of color perception evaluation model based on computer vision in graphic design education
Pei2025Developmentandappl,Development and application of red cultural education resources based on artificial intelligence
Zhang2025Dynamicmodelingand,Dynamic modeling and forecasting of price elasticity based on time series analysis and machine learning
Michaud2022DesignThinkingand,Design Thinking and Thinking by Design
Li2025Crossborderecomme,Cross-border e-commerce marketing strategy based on consumer behavior in the era of big data
Zhang2025Developmentofeduca,Development of educational tools integrating mixed reality and artificial intelligence: A theoretical and practical exploration
Li2025Impactofmultimodal,Impact of multimodal learning environments on cognitive and emotional development in students
Lamb2018EvaluatingComputati,Evaluating Computational Creativity
Zhou2025Explorethenewmode,Explore the new model and new method of combining artificial intelligence and computer teaching
Li2025Intelligentmanageme,Intelligent management accounting tools based on big data algorithms and invoice automatic recognition algorithms
Zhu2026PhysicsSolverTrans,PhysicsSolver: Transformer-enhanced Physics-Informed Neural Networks for forward and forecasting problems in partial differential equations
Xie2025Individualizedcolle,Individualized college English teaching based on artificial intelligence
Kuang2025Automatedoptimizati,Automated optimization method of AI information management process based on FOA
Shen2025Researchonsynchron,Research on synchronous control of light and sound in dance performance based on adaptive algorithm
Zheng2025Robusttechnologyof,Robust technology of industrial video surveillance system based on ORB algorithm
Min2025Optimizationofpref,Optimization of prefabricated building construction based on dragonfly algorithm and BIM technology
Guo2025Intelligentrecognit,Intelligent recognition of ancient murals based on deep learning models
Hu2025Designofasecuree,Design of a secure electronic voting system based on zero-knowledge proof and blockchain technology
Li2025Aredcultureconten,A red culture content production and recommendation system based on artificial intelligence
Dong2025Constructionofmode,Construction of model for extracting and identifying behavioral characteristics of college students with psychological abnormalities based on education big data mining and analysis
Zou2025Featureextractiona,Feature extraction and modeling of economic management big data based on CNN model
Fan2019Distributedstrategi,Distributed strategies for computational sprints
Carta2020Machinelearningand,Machine learning and computational design
Zhang2021Jointcomputational,Joint computational design of workspaces and workplans
Jiao2025Researchonarchitec,Research on architecture optimization and security design of university cloud service platform
Shen2024ComputationallyHard,Computationally Hard Problems for Logic Programs under Answer Set Semantics
Dukun2025Visualpredictionmo,Visual prediction model for weld seam offset based on deep learning
Xiao2025Innovativeapplicati,Innovative application of artificial intelligence in piano music education and evaluation
Zhou2025Thefeaturedeepfus,The feature deep fusion model for multimodal emotion analysis based on transformer
Memon2025Designthinkinginc,Design thinking in cancer care: A systematic literature review
Xing2025Intelligenttransfor,Intelligent transformation strategy for ecological agriculture based on deep reinforcement learning and transformer
Naseem2026Ahighefficiencyfo,A high-efficiency fourth-order iterative method for nonlinear equations: Convergence and computational gains
Dong2023ResearchOntheOpti,Research On the Optimization of Ideological and Political Education in Universities Integrating Artificial Intelligence Technology Under the Guidance of Curriculum Ideological and Political Thinking
Zhao2025Constructionoftrad,Construction of traditional village landscape personalized recommendation system based on Transformer and YOLO image recognition model
Jia2025Thestructuraldetec,The structural detection method of the extraction zone based on microseismic data monitoring and spatial and temporal analyses of activities
Kiefer2021GraphsIdentifiedby,Graphs Identified by Logics with Counting
Yan2025ApplicationofWord2,Application of Word2Vec technology in student big data analysis under educational background
An2025Designandimplement,Design and implementation of intelligent music visual teaching system
Lu2025Researchontheopti,Research on the optimization of college students’ entrepreneurship project based on ant colony algorithm and optimization of EfficientNet deep network
Ni2025Applicationresearch,Application research of personalized recommendation system for English learning resources based on GloVe
Cavalcanti2020InputsandOutputsi,Inputs and Outputs in CSP
Huang2023GEOAComputational,GEO: A Computational Design Framework for Automotive Exterior Facelift
Wang2025Danceactionrecogni,Dance action recognition technology based on deep learning
Liang2025Augmentingcustomer,Augmenting customer engagement in power marketing management through natural language processing techniques
Cai2026Theroleofuncertai,The role of uncertainty tolerance in lowering test anxiety and enhancing English achievement
Tu2025Enterprisefinancial,Enterprise financial management information fusion processing based on integrated framework construction and evolutionary game model
Williams2023AComputationalMode,A Computational Model of Coupled Human Trust and Self-confidence Dynamics
Li2025Analysisofinfluenc,"Analysis of influencing factors and trend prediction based on quantile regression and GM(1, 1) model"
Liu2025Curriculumdesignme,Curriculum design method for environmental art design specialty based on deep network model
Li2025Ecologicalefficienc,Ecological efficiency evaluation based on data envelopment analysis and a dual-objective model
Bozzelli2018IntervalvsPointT,Interval vs. Point Temporal Logic Model Checking
Hua2025Deeplearninginphy,Deep learning in physical education teaching mode based on the concept of flipped classroom
Li2025Theapplicationofd,The application of deep learning in English culture and situational teaching
Yu2025Intelligentanalysis,Intelligent analysis and early warning: Big data in telecom fraud prevention and control
Chen2025Enterprisefinancial,Enterprise financial early warning based on ensemble learning and stacked generalization fusion algorithm model
Li2025Applicationandimpr,Application and improvement of variational autoencoder (VAE) in construction engineering material cost optimization based on big data
Lv2025Harnessingeducation,Harnessing educational technology in the integration of vocational education and lifelong learning: A deep dive into the cultivation of adaptive skills
Meng2025Researchonadaptive,Research on adaptive optimization of college students’ innovation and entrepreneurship education based on machine learning and big data analysis
Fan2025Remotesensingimage,Remote sensing image data fusion analysis method based on NMF algorithm
Xu2025Theconstructionand,The construction and efficacy of smart classroom for college English based on big data
Chang2025Commoditypackaging,Commodity packaging design and emotion perception recognition based on moving edge computing
Zhang2025Naturallanguagepro,Natural language processing in language learning: Leveraging artificial intelligence for personalized and adaptive English teaching
Cao2025Apersonalizedrecom,A personalized recommendation algorithm and verification for artificial intelligence services based on three-dimensional correlation
Deng2025Theworkanalysisof,The work analysis of computer-aided design in university clothing design teaching
Taleshian2026Applicationoffract,Application of fractional-order hybrid Chelyshkov functions for solving a general class of fractional integro-differential equations with weakly singular kernels
Zhang2025Autismemotionrecog,Autism emotion recognition model based on vision transformer and multimodal feature fusion
Ding2026Thelargetimestep,The large time step scheme of Euler equations with source terms for nozzle flows
Li2025Intelligentbuilding,Intelligent buildings monitoring and management system based on computer technology
Zhong2025Evaluationandoptim,Evaluation and optimization of higher education teaching quality based on big data
Liu2025ConstructionofEngl,Construction of English teaching evaluation system based on artificial intelligence
Liu2025Researchonautomati,Research on automatic parsing and error correction of complex English grammatical mechanisms based on deep neural networks and transfer learning
Liu2025Researchonthecons,Research on the construction and application of educational information platform based on big data and deep learning
Zhang2025Technologyandimple,Technology and implementation of safety monitoring system for power grid construction site based on intelligent video analysis
Gavriil2020Computationaldesign,Computational design of cold bent glass façades
Feng2025Impactofeconomicp,Impact of economic policy uncertainty on high-quality development in the construction industry: A moderated mediation approach
Behera2026mmlmathxmlnsmml,"<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si786.svg"" display=""inline"" id=""d1e6756""><mml:mi>M</mml:mi></mml:math>-QR decomposition and hyperpower iterative methods for computing outer inverses of tensors"
Cong2025Visualmodelconstru,Visual model construction of player composition data for competitive basketball teams based on SRR-voting
Zhang2025Deeplearningbased,Deep learning-based model for predicting student learning behavior: A pathway to early intervention and enhanced outcomes
Li2026Temporalerroranaly,Temporal error analysis of a BDF2 time-discrete scheme for the incompressible Navier–Stokes equations with variable density
Podder2022ZeroOneLawsforEx,Zero-One Laws for Existential First-Order Sentences of Bounded Quantifier Depth
Pellis2021Computationaldesign,Computational design of weingarten surfaces
Halder2026Solvabilityanditer,"Solvability and iterative approximation of an infinite system of two-variable Hadamard-type fractional integral equations in
<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si3.svg"" display=""inline"" id=""d1e179"">
<mml:msub>
<mml:mrow>
<mml:mi>ℓ</mml:mi>
</mml:mrow>
<mml:mrow>
<mml:mi>p</mml:mi>
</mml:mrow>
</mml:msub>
</mml:math>
space"
Wang2025Methodsandcontent,Methods and content innovation strategies of digital education in higher vocational colleges under the background of artificial intelligence
Li2025Researchonoptimal,Research on optimal design strategy of urban public space based on GIS and spatial behavior analysis
Shen2025Performanceoptimiza,Performance optimization of rail inspection robot system based on deep vision and machine learning
Zheng2025Dynamicinteraction,Dynamic interaction recommendation for student team collaboration and innovative design practice based on mixed reality technology
Lou2025Theimpactofvirtua,The impact of virtual reality environments on English language acquisition: Innovative immersive learning technologies for communication skills development
Zhang2025Constructionofakn,Construction of a knowledge graph for dance teaching based on improved graph convolutional networks
Nwaigwe2026Efficienthighorder,Efficient high-order algorithm for nonlinear functional mixed integral equations
Zhang2025Anempiricalanalysi,An empirical analysis of the impact of innovation and entrepreneurship education on the creativity of higher vocational students
Liu2025Constructionofuniv,Construction of university big data mining and analysis model based on FP-growth algorithm
Gao2025Designandperforman,Design and performance improvement of virtual reality training simulator based on deep reinforcement learning
Guo2025Musiccultureinheri,Music culture inheritance and music education innovation in colleges and universities based on Internet of Things
Wang2025Researchonforeste,Research on forest ecological protection strategy optimization and decision support system based on IoT and deep reinforcement learning
Zhu2025Theroleandprospec,The role and prospect of artificial intelligence in rural economic development
Aghaei2026AnewChebyshevoper,A new Chebyshev operational matrix formulation of least-squares support vector regression for solving fractional integro-differential equations
Lin2025Cultivationofinnov,Cultivation of innovative ability of vocal music education based on big data analysis
Wu2025Applicationandprac,Application and practice of artificial intelligence in English teaching
Ji2025Theevaluationofte,The evaluation of teacher’s teaching ability and student online learning prediction based on optimized cluster analysis and machine learning
Jin2025Researchonmultimod,Research on multimodal English teaching model based on genetic algorithm
Lan2025Theinnovationofcu,The innovation of cultural and creative product design based on quantitative analysis
Liu2024PerceptualQualityA,Perceptual Quality Assessment of Omnidirectional Images: A Benchmark and Computational Model
Qiu2025Constructionandapp,Construction and application of music teaching quality evaluation system via deep neural network
Huang2025Sportsvolleyballer,Sports volleyball error technique action recognition based on visual image technology
Guo2025Researchonconstruc,Research on construction and optimization of animation effect design model driven by dynamic light and shadow algorithm
Liu2025Researchonsemantic,Research on semantic understanding and representativeness of contemporary ceramic materials based on deep learning
Li2025Applicationofartif,Application of artificial intelligence in English teaching content innovation and teaching method optimization
Ye2025Optimizationstrateg,Optimization strategy of teaching resources based on artificial intelligence
Ma2025Researchonconstruc,Research on construction of personalized English learning path optimization system based on MVO-CNN
Zheng2025Controlschemeofgr,Control scheme of green building renewable energy system based on reinforcement learning
Liu2025StudyonEnglishlea,Study on English learning behavior analysis and teaching optimization based on SSA-GRU
Meng2025Researchonprivacy,Research on privacy protection algorithm based on intelligent data recognition
Das2026Codesequippedwith,"Codes equipped with non-cyclic burst-<mml:math xmlns:mml=""http://www.w3.org/1998/Math/MathML"" altimg=""si2.svg"" display=""inline"" id=""d1e337""><mml:mi>b</mml:mi></mml:math> distance, bounds and periodical burst errors"
Jiang2025Constructionandapp,Construction and application of tourism e-commerce platform based on cloud computing
Zhang2025Artificialneuralne,Artificial neural network and its application in ceramic technology level identification
Zhang2019Computationaldesign,Computational design of fabric formwork
Yi2025Analysisofstudents,Analysis of students’ emotion based on visual clues in online music teaching
Lopes2021ReasoningaboutPetr,Reasoning about Petri Nets: A Calculus Based on Resolution and Dynamic Logic
Xie2025Digitalprotectiona,Digital protection and dissemination of red cultural resources based on the Internet of Things and big data
